T. Media,V. media Viento,Precipitaciones,Clima Numerico
14.6,5.6,3.6,25
17.4,6.7,5.1,25
20.2,7.3,15.1,2
23.9,8.1,45,2
24.6,8.6,110,10
25.3,7.1,176.4,10
23.6,8.2,153.2,1
22.5,8.3,152.9,1
21.4,7.3,138.9,1
18.3,7.1,49.4,25
14.8,7.4,11.6,25
12.2,7.3,2.8,25
11.9,9.2,3.4,25
15,10.3,3.1,30
17.8,11,5.4,30
21.7,10.7,28.1,7
23,10.2,61.1,6
23.8,8.9,130.4,1
21.4,6.8,192.6,1
20.3,6.5,154.2,1
19.5,5.8,110.6,24
16.6,5.8,33,25
13.1,6.3,8,25
10.6,6.1,1.5,25
10.1,6.9,3.9,25
12.7,7.5,3.8,25
15.1,7.9,7.6,25
19.1,9,25.1,25
20.5,8.7,62.2,1
21.5,7.7,145.6,1
27.9,5.4,142.4,10
26.8,7,116.7,10
25.8,6,160.4,10
22.5,5.9,84.6,1
18.8,5.8,57.5,25
16.9,5.3,18.6,25
16.6,6.9,13.1,25
19.1,8.6,16.1,25
21.2,8.7,30.4,2
24.6,9.4,72.5,10
25.9,9.9,119,10
27.3,8.2,132.6,10
25.6,6.4,177.7,10
24.9,6.3,154.7,10
24.2,5.3,126.5,10
21.4,6.1,169.1,1
17.6,6.4,192.7,24
15.9,6.2,148.3,24
15.7,7.4,115.8,24
17.6,8.4,94.2,24
19.1,8.8,160.3,24
21.9,7.4,237,1
23.5,7.5,186.3,1
25,6.6,186.9,10
25.2,11.6,230.6,14
24,11.3,172.3,6
22.6,10,151.1,1
19.2,9.6,62.5,24
15.7,9.4,25.9,25
12.7,9.7,13.1,25
12.2,10.7,7.4,30
14.9,11.2,8.5,30
17.8,11.8,16.1,30
21.8,12.2,65.1,6
23.4,12,103,6
24.9,11.1,175.9,14
26.7,9.2,134.8,10
25.5,9.2,100.6,10
23.8,8.6,91.1,1
19.8,7.8,35.9,25
16.1,7.3,17.2,25
12.7,7.1,6.6,25
12.2,8.2,3,25
15.3,9,2,25
18.5,10.2,12.3,30
22.7,11.6,44.7,7
24.8,10.9,66.7,14
26.5,10,114.2,10
26.8,10.1,161.1,14
25.9,10.5,165.6,14
24.6,9.9,174.4,10
21.2,9.8,202.3,1
17.6,9.8,78.4,24
15.4,10,63.8,24
14.8,11.2,30.6,30
16.7,12.7,38,30
18.5,13.8,68.9,29
21.8,13.4,134.7,6
23.6,12.5,168.2,6
25.8,10.7,146.9,14
27.6,11.8,165.7,14
26.8,11.9,128.7,14
25.7,11.2,144.8,14
22.5,11.5,175,6
18.9,11.6,99.3,29
17,11.9,68.9,29
16.3,13.1,47.5,30
18.1,14.4,44.2,30
19.8,14.9,90.8,29
23,14.9,142,6
24.7,14.4,166.5,14
26.7,13,163.4,14
27,11.9,167.3,14
26,12.2,161.9,14
24.7,11.8,175.1,14
21.4,11.9,206.6,6
18,11.9,91.9,29
15.9,12.1,70.5,29
15.2,13.4,37.5,30
17,14.6,47.2,30
18.5,15.5,75.7,29
21.8,15.7,150.7,6
23.7,14.1,184.3,6
25.8,12.5,157.7,14
27,9.1,167.2,10
26.2,9.1,154.9,10
25.1,8.6,144.1,10
21.9,8.7,193.8,1
18.3,9,138.2,24
16.5,8.9,139.8,24
16.1,10.1,103.3,29
17.9,10.9,93.9,29
19.2,11,145.1,29
22.3,11,226,6
24.2,10.4,181,14
26.3,9.6,179.9,10
25.6,5.9,,9
24.4,5.2,,9
22.9,6.6,,0
18.3,4.2,,23
13.5,4.3,,23
10.3,4.4,,23
10,4.6,,17
13.2,5.9,,23
16.2,5.4,,23
21.3,6.4,,0
23.9,6.5,,0
25.9,6.2,,9
27.2,,96.3,12
25.8,,73.6,12
23.9,,65,3
19.7,,29.3,27
15.1,,9,27
11.4,,2.9,27
10.8,,3.8,27
14.2,,4.2,27
17.9,,9.4,27
22.9,,17.6,4
25.5,,35.9,13
27.4,,65,12
27.3,20.9,83.8,14
26,18.9,69.2,14
24.4,17,52.4,15
20.4,14.2,27,7
16,11.7,12.6,30
12,9.5,4.7,25
11.6,10.9,8.1,30
15.4,14.8,3.2,30
19.1,18.6,7.3,30
23.6,22.4,25.9,7
25.6,22.5,50.2,15
27.3,21.9,68,14
24,6.2,130.6,1
22.4,5.7,119.7,1
21,5.2,134.5,1
17.3,5.3,70.4,24
14,5.2,21.3,25
11.2,5.3,8.4,25
10.5,5.7,12.5,25
12.9,6.8,6.7,25
15.3,7.6,27.1,25
19.2,8.8,62.6,24
21.4,8.6,89,1
23.4,7.1,130.2,1
25.3,10.2,132,14
24.1,10.6,122.4,14
22.6,10.7,153.5,6
18.8,9.8,95.4,24
15.2,10.3,35.4,30
12.3,10.2,18.7,30
11.5,12,15.6,30
13.7,14.1,13,30
16,14.6,36.4,30
19.8,15.1,83.8,29
22.2,13.8,103.2,6
24.3,11.9,143.7,14
26.4,11.5,141.4,14
25.2,12,156.6,14
23.7,11.7,168.3,6
20,10.6,155.6,29
16.7,10.8,58.9,30
14.1,10.7,49.3,30
13.4,12.6,31.2,30
15.4,14.4,26.3,30
17.1,15,53.1,30
20.6,15.5,114,6
22.9,14,159.8,6
25,12.3,136.4,14
26.2,,128,12
25,,154.3,12
23.6,,166.8,3
19.9,,205,26
16.3,,129.8,26
13.9,,101.4,26
13.4,,73.7,26
15.3,,56.8,27
16.7,,108.7,26
20.1,,152.6,3
22.5,,149.9,3
25,,120.6,12
27.1,15.5,15.7,15
25.5,13.9,18.9,15
22.8,12.9,11.2,7
17.2,10.6,4.4,30
12.2,9.3,4.4,25
8.3,9.3,1.6,18
7.7,10.3,3.5,22
10.6,11.6,3.2,30
14.4,12.6,5.6,30
19.8,14.8,3.6,30
23.4,16,7,7
26.3,16.1,11.6,15
26.5,11.7,105,14
25.1,9.8,95.1,10
23.2,8.2,68.2,1
19.1,7.1,26.6,25
15.2,6.6,9.9,25
11.9,6.4,2.1,25
11.3,7.5,4.9,25
14.4,9.5,1.7,25
17.7,11.3,9.4,30
22.2,13.8,30.4,7
24.6,14,42.6,15
26.4,13.2,83.5,14
25.1,7.1,121.1,10
23.7,5,102.2,1
21.8,4.6,94.4,1
17.7,5,42.4,25
13.8,4.6,17.6,25
10.7,4.3,4.7,25
10.1,5.6,13.2,25
12.9,6.5,6.1,25
15.8,7.1,22.9,25
20.3,8.7,35.1,2
22.8,8.6,75.1,1
24.6,7.3,113.3,10
23.4,12.6,141,6
22.2,11.3,115.9,6
20.7,11.4,126.9,6
17.2,11.5,66.3,29
13.7,11.2,21.3,30
10.7,10.9,4.8,30
10,12,13.5,22
12.5,13.5,9.7,30
14.9,14.8,35.2,30
18.6,15.8,71.9,29
20.9,15.8,118.3,6
22.9,13.7,156.9,6
24.3,,126.3,12
23.1,,97,3
21.7,,112.1,3
18,,61.3,26
14.5,,18.8,27
11.4,,4.5,27
10.8,,13.3,27
13.3,,8.9,27
15.7,,35.2,27
19.5,,69.8,26
21.8,,112.2,3
23.7,,154.6,3
23.4,,132.2,3
22.1,,106.1,3
20.6,,109.6,3
17,,63.4,26
13.6,,23.9,27
10.5,,4.9,27
9.7,,13.8,19
11.9,,9.6,27
14.3,,33.1,27
18.3,,66.6,26
20.8,,103.2,3
22.9,,130.1,3
25.8,9.2,95.4,10
24.4,8.8,112,10
22.8,9.6,146.4,1
18.7,8.9,116.2,24
15.4,9.8,49.4,25
12.2,10.1,31.5,30
11.5,12.1,23.9,30
13.7,13.8,28.4,30
15.9,13.9,53.2,30
19.5,14.3,110.5,29
22.1,13.4,128.9,6
24.4,10.9,124.9,14
25.1,10.6,115.2,14
23.6,10.3,134.8,6
22,9.6,155,1
18,9.5,132.7,24
14.8,9.4,58.3,25
12,10,38.2,25
11.3,11.3,32.4,30
13.2,12.7,32.4,30
15.1,13.4,61.2,29
18.5,13.9,127.6,29
21.3,13.2,118.7,6
23.6,12,141.2,6
26.3,,154.1,12
25,,144.7,12
23.5,,154.3,3
19.6,,189.7,26
16.1,,110.9,26
13.7,,88.4,26
13.1,,64.1,26
15,,57.5,27
16.6,,107.3,26
20,,146.5,26
22.5,,154,3
25,,134.1,12
25.8,9.3,133.9,10
24.4,8.5,145.7,10
22.8,7.5,156.5,1
18.8,6.8,163.4,24
15.3,7,99.7,24
12.7,7.2,82.4,24
12.2,8.6,52.2,25
14.1,10.4,58.7,30
15.7,11.8,85.6,29
19.1,12.3,136.9,29
21.7,11.3,140.8,6
24.2,10.9,121,14
24.6,7.1,45,11
23.2,6.2,36.3,2
20.5,6,43,2
15.6,5.2,15.8,25
11.3,4.7,9.2,25
8,4.5,3.7,18
7.5,5.1,6.8,18
10.2,5.9,6.4,25
13.3,6.9,12.4,25
18,7.7,12.7,25
21.3,8.4,20.1,2
23.9,7.5,28.4,2
25.5,8.3,50.5,11
24,6.9,33.7,2
21.3,6,34.9,2
16.2,4.9,16.5,25
11.8,4.5,10.5,25
8.4,4.3,6.3,18
7.9,4.9,8,18
10.6,6,8,25
13.9,6.7,15.1,25
18.8,8.1,10.4,25
22.2,8.9,16.4,2
24.9,8.8,24.3,11
23.9,4.4,40,2
22.5,3.8,43,2
20,4,38.7,25
15.3,3.4,19.6,25
11.2,3,12.9,25
8.1,3.1,8.7,18
7.5,3.8,10.9,18
10,4.3,10.4,18
13,4.3,18.8,25
17.5,5.2,13.7,25
20.6,5.7,20.7,2
23.2,4.9,28,2
24.4,18,119.5,14
23.2,16.7,97.5,6
20.8,15.1,98.9,6
16.6,14.8,41.4,30
12.9,13.8,19.8,30
10,14.2,5.7,22
9.4,15.4,11.2,22
11.9,17.3,8.6,30
14.7,17.9,24.3,30
18.9,21.7,40.5,30
21.6,20.9,80.4,6
23.8,20.1,110.1,6
22.9,12.4,103.7,6
21.7,11.3,85.7,6
19.5,10.2,94.6,29
15.1,8.9,55,25
11.2,8.5,28.5,25
7.9,8.4,9.5,18
7.1,8.9,18.8,18
9.6,10.5,17.1,22
12.7,12.3,35.2,30
16.9,15.1,58.8,30
19.8,15.8,85.9,29
22.2,14.3,113.1,6
22.9,15.9,144.5,6
21.8,14.3,90.6,6
20.1,13.7,107.8,6
16.3,13.8,64.7,29
12.7,12.4,31.5,30
9.7,13.5,8.4,22
8.9,15.1,14.5,22
11,16.7,13.9,30
13.6,18.3,40.1,30
17.4,19,75.4,29
20.1,18.3,128.7,6
22.2,16.8,138.6,6
23.8,8.5,114.3,1
22.2,8,115,1
20.7,9.1,108.1,1
16.9,8.9,96.3,24
13.3,8.9,36.8,25
10.2,9,15.8,25
9.3,10.4,17,22
11.4,12.4,21.2,30
13.9,13.7,43.1,30
17.9,13.9,94.6,29
20.9,13.3,101.1,6
23,10.4,148.3,6
24.6,11.1,111.8,14
23.2,10,120.6,1
21.4,10.1,144.8,6
17.3,9.3,111.8,24
13.8,9.3,59,25
10.7,10,27.7,25
10,11.1,24.7,22
12.1,12.4,32.4,30
14.5,13.8,47.4,30
18.1,14.5,108.5,29
21,13.8,112.3,6
23.4,11.9,120.6,6
25.1,9.2,109.6,10
23.7,8.1,102.5,1
22,7.9,131.6,1
17.8,7.6,113.9,24
14.2,8.1,82.7,24
11.3,8.6,56,25
10.7,9.6,50.6,25
12.8,10.5,54.4,30
14.7,11.5,71,29
18,11.3,110.1,29
20.9,11.7,119.9,6
23.4,10.4,116.5,6
20,8.7,25,25
18.7,7.9,26.4,25
16.2,6.5,33.5,25
11.3,6.9,22.9,25
7.1,6.9,26.9,18
4.6,8.1,38.7,18
3.6,9.6,34.1,18
5.5,9.4,30.1,18
8.2,9.4,23.9,18
12.6,10.8,19.6,30
16,10.7,22.3,30
19,10.1,29.6,30
23.3,,61,3
22,,42.8,4
19.3,,37.2,27
14.5,,26.1,27
10.5,,15.6,27
7.7,,9.1,19
6.9,,13.2,19
9,,16,19
11.8,,27.4,27
16.3,,30.5,27
19.6,,38.6,27
22.4,,45.3,4
23.8,12.4,111.2,6
22.5,10.8,102.7,6
20.2,10.9,143.8,6
16,9.6,70.4,24
12,9.8,32.8,25
8.8,9.5,17.4,18
8.1,10.7,22,22
10.4,14.1,24.9,30
13.1,14.4,55.2,30
16.7,15.6,87.2,29
20,15.5,99.8,29
22.8,13.6,124.4,6
23.1,10.2,120.7,6
21.9,8.6,105.7,1
19.9,9.2,138.8,24
15.8,8.1,83.4,24
12.2,8,36,25
8.9,8,11.7,18
8.1,8.9,17.6,18
10.2,11.5,17.2,30
12.8,12.9,47.3,30
16.6,14.8,91,29
19.6,14.5,105,29
22.2,12.6,128.7,6
22.5,12,119.6,6
21.3,10.7,101.2,6
19.2,11.7,149.3,29
15.3,9.9,79.9,24
11.8,9.2,49,25
8.6,9,25.8,18
8,10.3,24,22
9.9,12.8,28.8,22
12.3,14,63.6,29
15.6,15.5,116.1,29
18.6,15,104.3,29
21.4,14.4,107,6
23,11.6,132.3,6
21.7,9.9,118.8,1
19.7,10.6,133.2,29
15.8,9.7,109.1,24
12.4,10.1,61.2,29
9.3,10.2,26.8,22
8.6,11.4,31.5,22
10.7,13.1,32.4,30
12.9,14.5,55.3,30
16.3,15.2,122.8,29
19.4,15.5,110.7,29
22,13.4,110,6
23.5,9.6,127.9,1
22.1,8.4,114.2,1
19.8,8.8,144.8,24
15.8,8.4,110.3,24
12.2,8.8,60.8,24
9.2,8.2,38.4,18
8.7,9.4,38.3,18
10.7,10.7,35.2,30
13.1,10.9,61.7,29
16.2,11.7,113,29
19.5,11.3,108.8,29
22.2,10.3,106.9,6
24.2,8.6,116.3,10
22.7,7.4,128.6,1
20.9,6.6,118,1
16.9,6.1,110.1,24
13.4,6.1,74.1,24
10.6,6.6,51.4,25
10.2,6.5,59.7,25
12,7.8,58.6,25
14,8.8,,23
17.1,9.2,124.9,24
20,9.1,121.5,24
22.5,8.7,108.4,1
24.1,11.4,117.5,14
22.9,10.9,115,6
20.9,9.6,121.9,1
16.7,8.7,104.3,24
13.1,8.6,78.9,24
10.2,9.1,49.7,25
9.6,9.8,50.3,18
11.6,11,54.5,30
13.6,12.6,57.2,30
16.8,11.9,117.7,29
19.7,12.1,106.6,29
22.4,11.7,105.9,6
23.9,13.3,101.7,6
22.7,12.5,113.1,6
20.8,11.2,114.4,6
16.7,10.5,93.2,29
13.2,10.3,76.6,29
10.3,10.9,47.3,30
9.6,11.5,47.2,22
11.5,12.5,55.1,30
13.4,14.1,59.7,30
16.7,13.7,110.5,29
19.6,13.9,103,29
22.3,13.4,98,6
24.5,17.2,117.4,14
23.5,16.4,107.7,6
22,15.5,127.6,6
18.2,14.1,105.6,29
15,13.7,84.4,29
12,13.4,48.7,30
11.2,14.2,52.8,30
12.7,15.3,56.3,30
14.4,17.7,61.7,29
17.7,17.7,110.4,29
20.3,18.1,103.7,6
22.9,17.4,105.2,6
24.9,10,138.7,10
23.6,9.5,127.2,1
21.9,8.8,140.1,1
17.9,7.7,118.9,24
14.6,7.9,92.3,24
11.6,8.2,58.7,25
11,8.6,60.5,24
12.8,9.2,64.4,24
14.6,10.2,72.2,29
17.9,10.1,127.2,29
20.6,10.2,117.5,6
23.3,10.2,118.9,6
22.8,13.6,108.8,6
21.8,13.5,114.3,6
20,12.3,124.5,29
16.2,10.5,86.8,29
12.7,10.6,79.3,29
9.9,10.6,52.6,22
8.9,11.3,61.4,21
10.7,12.6,61.3,29
12.5,14.4,69.8,29
15.7,13.8,110.6,29
18.4,13.9,103.9,29
21.1,14.2,95.2,6
22.8,18.8,84.1,6
22,17.9,112.6,6
20.4,16.2,109.2,6
16.5,14,95.2,29
12.9,14.3,68.5,29
10,13.8,64.7,21
9,14.4,64.7,21
10.7,16.3,71.1,29
12.5,18.5,73.3,29
15.7,18.1,100.2,29
18.5,18.3,107.9,29
21.2,19.2,78.7,6
23.6,,94.6,3
22.1,,81,3
19.5,,102.3,26
14.9,,58,27
11,,32.9,27
7.9,,15.5,19
7.2,,21.5,19
9.5,,28.1,19
12.1,,50.9,27
15.9,,74.7,26
19.4,,81.7,26
22.5,,104.3,3
21,,112.3,3
19.8,,80.4,26
17.5,,95.9,26
13.3,,70.9,26
9.5,,47.4,19
6.6,,22.1,19
5.9,,28.5,19
7.9,,32.4,19
10.3,,58.1,27
13.5,,99.7,26
16.6,,74.3,26
20,,84.1,26
20.8,13.8,108.5,6
19.7,12.7,90.2,29
17.6,12,98.8,29
13.5,11.1,71.3,29
10,11.4,59.7,22
7.2,12.1,37.2,22
6.3,12.5,37.6,22
8.1,14,45.2,22
10.1,15.4,58.6,30
13.5,15.5,97.7,29
16.4,14.9,94.6,29
19.3,14.4,79.2,29
21.8,10,108.4,1
20.8,8.4,99.8,1
19,7.6,90.4,24
15.1,7.9,97.4,24
11.6,7.7,58.7,25
8.7,8.2,59.9,18
7.8,9.9,59.6,18
9.8,10.2,59,22
11.7,11.2,,28
14.9,11.4,102.1,29
17.6,12,108.7,29
20.3,10.8,83.9,6
21.1,11.9,,5
20,10.8,101.6,29
17.6,10.2,92.8,29
13.4,9.1,,23
9.7,8.8,,17
6.8,9.4,22.5,18
6.1,10.9,26.2,22
8.2,12,34.8,22
10.2,12.8,63.2,29
13.5,12.4,95.5,29
16.7,12.9,87.1,29
20.1,12.5,88.3,6
21.5,14.9,85.1,6
20.4,13.4,99.5,6
18.1,12.7,83.5,29
14.1,12.9,74.5,29
10.6,12.1,59.3,30
7.8,13,34.5,22
7.1,13.1,43.2,22
8.8,13.7,42.3,22
10.6,13.8,63.1,29
13.8,15.1,82.5,29
16.9,15.4,88.3,29
20,16.4,80,29
20.4,16,94.9,6
19.8,14.8,93.9,29
18.2,13.7,95.7,29
14.5,12.3,85.5,29
11.2,12.2,66.4,29
8.4,12.8,57.4,22
7.5,12.6,55.7,22
8.8,13.6,55.9,22
10.4,14,57.3,30
13.3,15.4,89.3,29
15.9,15.8,81.3,29
18.5,16.2,92.8,29
23.7,12.8,12.9,7
22.3,11.3,11.9,7
18.9,9.9,23.6,25
13.4,8.8,15.3,25
9.2,8.3,21.1,18
6.6,9.3,23.5,18
5.8,9.5,15.9,18
8.1,9.7,11.4,18
11.4,10.3,19.3,30
15.6,12.8,20.3,30
19.4,13.9,14.5,30
22.4,13.8,11.2,7
23.6,,67.1,3
22.1,,67.1,3
19.4,,75.2,26
14.9,,54.5,27
11.1,,41.2,27
8.1,,31.5,19
7.5,,31.1,19
9.4,,34.5,19
11.6,,51.6,27
15.1,,73.3,26
18.7,,56.8,27
22,,67.3,3
15,22.9,20,30
14.8,19.8,15.3,30
11.9,18.3,35.2,30
7.9,19.1,58.9,22
4.9,15.9,130.1,21
2.9,17.9,170.1,21
2.1,16.6,122.1,21
3,16.8,101.4,21
5.1,17.1,56.5,22
8,23.4,49.4,22
10.8,25.4,29.3,30
13.5,25.2,23.4,30
18,11.6,,28
17.5,9.1,,23
14.1,8.4,26.2,25
8.9,8,20.7,18
4.4,6.1,23.3,18
1.4,7.5,28.1,18
0.5,6.9,,17
2.7,8.3,11.5,18
5.7,8.3,14.9,18
9.8,12.6,18.6,22
13.5,13.7,,28
16.6,12.7,,28
22.1,,31.4,4
20.8,,43,4
18.3,,54.1,27
13.8,,41.8,27
9.9,,28.8,19
7.2,,25.6,19
6.6,,26,19
8.2,,22.3,19
10.5,,25.2,27
14.3,,30.3,27
17.7,,23.6,27
20.6,,21.3,4
15.1,23.4,18.8,30
15,20,18.4,30
12.3,17.2,24.5,30
8.2,17.4,43.1,22
4.9,14.5,65,21
2.4,15.4,79.4,21
1.5,14.6,60.2,21
3.2,14.7,47,22
5.5,15.8,35.7,22
8.4,20.6,28.3,22
11.2,23.5,20.8,30
13.6,23.8,20.8,30
21.5,24.2,13.6,7
20.3,23,18.9,7
17.6,20.2,23.3,30
13.3,19.1,24.8,30
9.2,16.6,26.3,22
6.2,17.7,22.2,22
5.8,17.9,17.8,22
7.7,18.4,13.9,22
10.4,18.3,14.6,30
14.1,22.5,19.2,30
17.4,23.7,13.7,30
20,23.9,13.9,30
19.7,25.9,11.6,30
18.8,21.2,14.4,30
16.3,20.7,18.2,30
13.1,22.8,25.4,30
9.6,19.4,37.4,22
6.9,22.4,35.9,22
6.6,19.5,23.4,22
7.9,19.2,20.1,22
10.1,19.5,20.1,30
13,23.3,16.4,30
15.9,25.1,14.5,30
18.2,25.6,10.1,30
16.3,30.2,14.3,30
15.6,28.8,22.5,30
13.2,26.8,23.4,30
9.8,26.8,19.1,22
6.2,25.5,31.1,22
3.4,26.2,33.7,22
3.2,25.2,22.5,22
4.8,24.9,18.3,22
7.4,25.6,14.3,22
10.4,28.7,17.3,30
13.2,29.6,14.9,30
15.1,30.8,20.2,30
13.8,27.1,27.7,30
13.2,25.6,27.1,30
10.8,22.8,26.7,30
7.6,22.5,26.7,22
4.2,19.4,26.9,22
1.4,19,18.3,22
1.2,18.6,19.2,22
3.1,19.7,16.9,22
5.7,20.3,13.3,22
8.4,24.1,16.9,22
11.1,26.7,22.7,30
12.8,27.4,25.9,30
10.9,29.1,36,30
10.3,27.2,29.7,30
8.1,25.3,27.2,22
5.5,23.4,28.8,22
2.6,19.8,29.4,22
-0.1,17.4,26.7,22
-0.2,18,23.9,22
1.4,20.6,20.7,22
3.5,21.9,17.1,22
6.2,26.6,18.5,22
8.4,28.1,27,22
10,29.6,36,22
1.4,19.4,,20
0.7,23.7,,20
-2.3,25.6,,20
-6.1,27.1,,20
-8.2,25.7,,20
-10.4,27.9,,20
-10.5,30.4,,20
-9,28.5,,20
-6.5,28.1,,20
-4.3,29.7,,20
-1.1,24.8,,20
0.8,24.1,,20
1.4,19.9,,20
1.4,23.7,,20
0.4,23.9,,20
-1.8,24.9,,20
-4.6,24,,20
-7.9,23.7,,20
-9.3,24.2,,20
-7.8,25.6,,20
-5.4,24.7,,20
-2.8,26.5,,20
-0.7,23.6,,20
0.6,23.3,,20
-2.4,,,16
-7,,,16
-12,,,16
-16.7,,,16
-18.1,,,16
-19.1,,,16
-20.4,,,16
-20.2,,,16
-18.4,,,16
-14.8,,,16
-8,,,16
-3,,,16
-0.8,23.7,,20
-2,25.5,,20
-6.1,28.5,,20
-10.8,31.1,,20
-12.8,30.5,,20
-14.7,34.8,,20
-14.7,34.5,,20
-13.1,31.5,,20
-10.1,31.9,,20
-7.6,33.6,,20
-3.6,28.9,,20
-1.2,26.7,,20
2,14.6,,20
0.9,17.7,,20
-1.2,22.3,,20
-3.3,20.4,,20
-5.3,19.3,,20
-9.3,18,,20
-11.6,17.3,,20
-11.5,18.9,,20
-8.9,17.5,,20
-5.9,20.3,,20
-2,19.2,,20
0.8,18.3,,20
